ct_a,ct_b,edge_count,intra_celltype
Han:Cortex_hypocotyl,Liew_root_cap,76,False
Han:E.hypocotyl_epidermis,Liew_root_cap,69,False
Liew_provasculature,Liew_xylem,63,False
Liew_QC,Liew_root_cap,59,False
Han:Cortex_hypocotyl,Liew_xylem,57,False
Liew_provasculature,Liew_root_cap,55,False
Han:E.hypocotyl_epidermis,Liew_provasculature,52,False
Liew_root_cap,Liew_xylem,51,False
Han:Cortex_hypocotyl,Liew_provasculature,49,False
Liew_root_cap,Liew_root_cap,49,True
Han:Cortex_hypocotyl,Han:E.hypocotyl_epidermis,48,False
Liew_QC,Liew_xylem,48,False
Han:Cortex_hypocotyl,Liew_QC,46,False
Han:E.hypocotyl_epidermis,Liew_xylem,42,False
Liew_xylem,Liew_xylem,41,True
Liew_provasculature,Liew_provasculature,40,True
Liew_QC,Liew_provasculature,38,False
Han:E.hypocotyl_epidermis,Han:E.hypocotyl_epidermis,29,True
Han:E.hypocotyl_epidermis,Liew_QC,28,False
Han:Cortex_hypocotyl,Han:Cortex_hypocotyl,28,True
Liew_QC,Liew_QC,25,True
Han:E.hypocotyl_epidermis+Cortex_hypocotyl,Liew_QC,9,False
Han:E.hypocotyl_epidermis+Cortex_hypocotyl,Liew_root_cap,8,False
Han:E.hypocotyl_epidermis+Cortex_hypocotyl,Liew_xylem,4,False
Han:E.hypocotyl_epidermis,Han:E.hypocotyl_epidermis+Cortex_hypocotyl,4,False
Han:E.hypocotyl_epidermis+Cortex_hypocotyl,Liew_provasculature,4,False
Han:Cortex_hypocotyl,Han:E.hypocotyl_epidermis+Cortex_hypocotyl,3,False
