rank,tair_id,symbol_hint,modules,pathway_primary,atlas_celltype_primary,degree,mean_log2fc_OSD_dark,mean_log2fc_OSD_light,degree_centile,multi_module,matched_program,program,Z_combined,sign_concordance_frac,robustness_abs,robustness_centile,direction_consistency,master_score,primary_module,evidence_tier,name_label
1,AT5G07220,,vascular,non-panel,Liew_xylem,30,0.1196606362049833,0.4837259487804775,0.992627927146574,0,Liew_xylem,Liew_xylem,-4.705539712288262,0.8333333333333334,4.705539712288262,0.9648742411101474,0.8333333333333334,0.8531801098583407,vascular,Atlas,xylem marker (AT5G07220)
2,AT1G12780,,vascular,non-panel,Liew_xylem,28,0.3680193708566526,0.5718346196284914,0.9774501300954032,0,Liew_xylem,Liew_xylem,-4.705539712288262,0.8333333333333334,4.705539712288262,0.9648742411101474,0.8333333333333334,0.8471089910378722,vascular,Atlas,xylem marker (AT1G12780)
3,AT1G69680,,vascular,non-panel,Liew_xylem,28,-0.0030661466022076,0.0338841808717721,0.9774501300954032,0,Liew_xylem,Liew_xylem,-4.705539712288262,0.8333333333333334,4.705539712288262,0.9648742411101474,0.8333333333333334,0.8471089910378722,vascular,Atlas,xylem marker (AT1G69680)
4,AT4G37450,,vascular,non-panel,Liew_xylem,25,-0.4783913302316934,-0.363755109499626,0.966608846487424,0,Liew_xylem,Liew_xylem,-4.705539712288262,0.8333333333333334,4.705539712288262,0.9648742411101474,0.8333333333333334,0.8427724775946805,vascular,Atlas,xylem marker (AT4G37450)
5,AT5G23730,,hypocotyl;CRY_circadian,Circadian rhythm - plant,Han:Cortex_hypocotyl,12,-0.3501717662436234,-0.8732952974866733,0.8456201214223764,1,Cortex_hypocotyl_shoot,Cortex_hypocotyl_shoot,-0.0746279341303587,0.6666666666666666,0.0746279341303587,0.7710320901994796,0.6666666666666666,0.8028910089621277,hypocotyl,Direct,Cortex_hypocotyl marker (AT5G23730)
6,AT5G62340,,QC_rootcap,non-panel,Liew_root_cap,30,-0.0390062502052059,2.31841037653967,0.992627927146574,0,,,,,0.0,0.3738074588031223,0.0,0.5091934084995664,QC_rootcap,Atlas,root_cap marker (AT5G62340)
7,AT1G64060,RBOHF,ROS,ROS_scavenging,panel_only,18,0.0351026357551259,0.329064303855459,0.906764960971379,0,,,,,0.0,0.3738074588031223,0.0,0.4748482220294883,ROS,Direct,RBOHF (AT1G64060)
8,AT3G55050,HAB1,ABA,ABA_signaling,panel_only,17,0.1135806681643125,-0.0720316062376776,0.891153512575889,0,,,,,0.0,0.3738074588031223,0.0,0.4686036426712923,ABA,Direct,HAB1 (AT3G55050)
9,AT5G47080,,CRY_circadian,Circadian rhythm - plant,panel_only,17,0.152194027825702,0.1946860901542222,0.891153512575889,0,,,,,0.0,0.3738074588031223,0.0,0.4686036426712923,CRY_circadian,Direct,panel_only marker (AT5G47080)
10,AT2G44900,SLY1,GA,GA_signaling,panel_only,17,0.2322311543940946,0.3310432114008785,0.891153512575889,0,,,,,0.0,0.3738074588031223,0.0,0.4686036426712923,GA,Direct,SLY1 (AT2G44900)
